Score,Do you know about Internet (Cyber) Crime?,Cyber Crime (Internet Crime) is ,Cyber Crime also leads to,What do you think about the most probable reason of cyber attack?,How many hours you use Smartphone in a day?,Your Age Group,Studying or Working or Not Working,Have you attended any seminar or webinar or workshop on Cyber Crime and Security Awareness?,Are you aware about Cyber Crime Safety Precautions tips?,Do you know where to file an Internet (Cyber) Crime Complaint?,Have you ever been victim of Cyber Crime?,Any type of Cyber Crime happened with you?,Did you loose any money?,Did you file complaint?,Why did you not file the complaint?,Where did you file the complaint?,Was your complaint resolved?,What is the status of Complaint,What mistakes made by the person as shown in the poster?,What is the Learning from Pencil Packaging Job Scam,What wrong Mohan did?,Does ever Bank call you for such detail ?,How will you define social media cloning?,What is the learning from this story,"You receive a friend request on Facebook on the name of your school  female friend and a beautiful smart profile picture, what will you do?","In the above video, what mistake the person did? ",What happens in Honey Trapped Video Call?,What safety precautions people should take to prevent honey trapped?,What mistake Harshita Did?,"You have decided to sell your old laptop on OLX. You add the item on OLX and soon one buyer shown an interest to buy your laptop and he also confirms the deal. He ask you to click on the link to receive the payment, what will you do? ","You are travelling on a holiday trip and suddenly you come to know that a fraudulent transaction happened in your account, what will you do? ","In the above video, what mistake he did","There is a power cut at home and suddenly you receive a call that says your power has been cut due to non payment of electricity bill and he ask to click on the link and pay the bill, what will you do?","You have received an audio message with some documents and voice notes that you have won the 35 Lakhs Rs of lottery from Kaun Banega Crorepati (KBC), what will you do?",How to take precautions when you receive such kind of lottery emails or disease treatment help or WhatsApp message?,"You receive a message on WhatsApp that a new startup company is offering you a new launched mobile phone at huge discount, Limited Stock, buy it before it stock out, what will you do?",What necessary precautions we should take while shopping online?,"Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Learning]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Usefulness ]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Presentation of Training Questions (Clear & Organized)]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Relevance of Information Provided in the Cyber Training]",Has this cyber training program helped you to enhance your knowledge on Cyber Crime Awareness and Safety Precautions?,How likely will you recommend this cyber training program in your family and friends circle? [Family],How likely will you recommend this cyber training program in your family and friends circle? [Friends],How likely will you recommend this cyber training program in your family and friends circle? [Others],Would you like to participate in the Workshop/Webinar/Seminar on Cyber Crime Awareness?,Would you like to participate in the Cyber Champion Ambassador Program of College/City/State/National Level to create awareness on Cyber Crime and Safety Precautions?,Any valuable suggestion or feedback to improve this training module on Cyber Crime Awareness,Gender,State,How did you come to know about this Cyber Training Program?,"You are getting multiple calls of a person who is abusing or harassing you over the phone, what will you do?","You come to know that someone posted your personal photos on social media and then you receive a call from unknown person (True Caller is displaying the name Criminal Lawyer Advocate), and he says that a complain has been registered against you and you have been asked to pay 5000 Rs to settle down the case, what will you do?",Have you enabled the two factor authentication on your Gmail or other email account?,"Have you enabled the two factor authentication for your Social Media (Facebook/Instagram/Twitter/Linkdein/
WhatsApp/SnapChat) account?",Which of the following option indicates the strong password,"If you are studying or working, write down the name of school or college or university or workplace",How many hours you use Laptop or Computer in a day ?,When do you spend your maximum time on Smartphone?,Your Internet data is always (24*7 even during sleep) ON  or SWITCH ON only when it is required ? ,"If Cyber Crime happened with you, when did it happen?","Have you ever attended ""Online Training on Cyber Crime Awareness"" organized by CollCom before?",Did you loose any money?.1
84,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,37 Years and Above,Working (Govt.),No,I have good knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,Both A & B,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Female,Uttar Pradesh,WhatsApp Group,All of the Above,Will ignore the call,Yes,No,#Sohan@27!,Ups sikandara,Not more than 2 hours in day,In the Night before Sleep,I switch ON internet only when it is required,Not Applicable,No,
96,Yes,All of the above,All of the above,Human Negligence,Not more than 2 hours in day,30-36 Years,Working (Govt.),No,I have little knowledge,No,No,"Fraud Call, Courier Lottery Fraud, Online Shopping Fraud",I did not loose any money,"No, I did not file the complaint because of lack of knowledge",No idea where  to file the complaint,,,,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Very Good,Excellent,Yes,Very Likely,Very Likely,Very Likely,Maybe,Maybe,OK,Male,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,P. S. JAJAPUR,I do not have/use Laptop or Desktop Computer,In Evening,I switch ON internet only when it is required,In the Evening,No,
16,Yes,All of the above,All of the above,All of the above,4-6 Hours in a day,37 Years and Above,Working (Govt.),Yes,I have little knowledge,Yes,Yes,"Online Romance Fraud, Fraud Call",I did not loose any money,"No, I did not file the complaint because of lack of knowledge",No idea how to file the complaint,,,,He was doing exactly the same that was told by the accused.,2. Reputed Company Never Ask for Job Processing Fee Payment,both b and c,I do not know,Duplicate the person’s social media profile,A. Always set the profile picture and friend list public,B. will call and verify whether the Girl is Authentic or Fraud,a. He accepted the friend request of unknown people,Innocent users are fooled into taking part in explicit video chats,Don’t accept friend requests from unknown while looking only smart picture,D. Only A and B,B. You will refuse to click on the link,B. You will immediately call 1930 cyber crime help line number to file complaint,B. He has not verified the caller and made the payment,You will share the Card Details and CVV to clear the dues,You will call back to the person and share the banking details to claim the Lottery amount,Asked for more further details and verify from the authentic source,B. Also encourage my friends and family to buy it,"Nothing Comes Free, Act Wisely when there is a Huge Discounts Available, must Cross Verify all conditions",Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Good,Male,Uttar Pradesh,WhatsApp Group,Block the person,Will follow the instructions of Criminal Layer Advocate,Yes,Yes,12345#,Ps ekau ,2 -4 Hours in a day,In Evening,I switch ON internet only when it is required,"In the Morning, During Office Work Time",Yes,
92,Yes,All of the above,All of the above,Human Negligence,2 -4 Hours in a day,22-29 Years,PG,Yes,I have good knowledge,Yes,No,"Fraud Call, Fake Govt Scheme Fraud, Fake Loan Offer Fraud",I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,A. He clicked on the link and made payment,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,"No, ",Male,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,MAHATMA GANDHI ANTARRASHTRIYA HINDI VISHWAVIDYALAY WARDHA ,Not more than 2 hours in day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,Yes,
92,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,30-36 Years,Working (Govt.),No,I have little knowledge,No,No,Not happened any crime,I did not loose any money,"No, I did not file the complaint because of lack of knowledge",No idea where  to file the complaint,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,Both A & B,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Very Likely,Somewhat Likely,Somewhat Likely,Yes,Yes,,Male,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,No,#Sohan@27!,Besic Shiksha Parishad,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,No,
92,Yes,All of the above,All of the above,Human Negligence,4-6 Hours in a day,37 Years and Above,Working (Govt.),Yes,I have little knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,The user receives a video call from an unknown number and a girl naked video was recorded with the user,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Excellent,Excellent,Yes,Somewhat Likely,Somewhat Likely,Somewhat Likely,Yes,Yes,Not any ,Female,Uttar Pradesh,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Basic school ,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,No,
80,No,All of the above,All of the above,All of the above,2 -4 Hours in a day,30-36 Years,Working (Govt.),No,I have little knowledge,No,No,"Online Video Call Sexotortion Fraud, Fraud Call, Lottery Fraud",I did not loose any money,"Yes, I filed the complaint.",,Dialed 155620 or 1930,Yes,It was told to put his number in the blacklist and beware of such calls and messages.,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,both b and c,I do not know,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,Both A & B,All of the Above!,Very Good,Very Good,Very Good,Excellent,Yes,Somewhat Likely,Somewhat Likely,Somewhat Likely,Yes,Yes,"It is very important to convey information related to cyber fraud to every person through one or the other means, now everyone will come safely.",Male,Uttar Pradesh,WhatsApp Group,All of the Above,Will ignore the call,No,No,#Sohan@27!,basic education department,Not more than 2 hours in day,In Afternoon,I switch ON internet only when it is required,In the Night,No,
64,No,All of the above,All of the above,All of the above,2 -4 Hours in a day,37 Years and Above,Working (Govt.),No,I have little knowledge,No,No,"Fraud Call, Lottery Fraud, Kaun Banega Crorepati (KBC) Fraud",I did not loose any money,"No, I did not file the complaint because of lack of knowledge","No idea where  to file the complaint, No idea how to file the complaint",,,,All of the above,4. Both 2 and 3 options are correct,both b and c,I do not know,Option A and B,Both B and C,Both B and C,He did everything right,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will simply follow the instructions of caller,You will inform your all friends and celebrate,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,"Do not easily trust Sales Offered on Social Media , must verify the source",Very Good,Very Good,Very Good,Very Good,Maybe,Somewhat Likely,Somewhat Likely,Somewhat Likely,Maybe,Maybe,Give Helpline number ,Female,Uttar Pradesh,WhatsApp Group,Block the person,Will ignore the call,No,No,#Sohan@27!,Department of Basic Education ,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,"In the Afternoon at Home, In the Evening, During Office Work Time, During Travelling",No,
92,Yes,All of the above,All of the above,Human Negligence,4-6 Hours in a day,30-36 Years,Working (Govt.),Yes,I have little knowledge,No,Yes,Online Customer Helpline Fruad,5000-20000,"No, I did not file the complaint because of lack of knowledge",No idea how to file the complaint,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,C. Report the fraudulent account to social media and also file a cyber complaint,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,B. You will refuse to click on the link,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Very Likely,Very Likely,Somewhat Likely,Yes,Yes,Visual approach may be more effective,Male,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Teacher,Not more than 2 hours in day,In the Night before Sleep,I switch ON internet only when it is required,In the Evening,No,
92,Yes,All of the above,Defamation of an individual on social media,Human Negligence,2 -4 Hours in a day,22-29 Years,Working (Govt.),No,I have little knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,Both A & B,All of the Above!,Very Good,Very Good,Very Good,Very Good,Maybe,Very Likely,Very Likely,Very Likely,Maybe,Maybe,,Male,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,No,#Sohan@27!,Studying,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,No,
88,Yes,All of the above,All of the above,Human Negligence,Not more than 2 hours in day,22-29 Years,Working (Govt.),Yes,I have good knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,C. You will ignore the fraudulent transaction and focus on enjoying the trip,A. He clicked on the link and made payment,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,All information are very valuable 👍,Female,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Working,Not more than 2 hours in day,In Evening,I switch ON internet only when it is required,Not Applicable,Yes,
96,Yes,All of the above,All of the above,Human Negligence,2 -4 Hours in a day,30-36 Years,Working (Govt.),No,I have little knowledge,No,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,B. You will immediately call 1930 cyber crime help line number to file complaint,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Somewhat Likely,Somewhat Likely,Somewhat Likely,Yes,Yes,,Female,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Working ,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,No,
68,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,37 Years and Above,PG,No,I have little knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,3. Always apply for the Job only from the Authentic Website of the Company,a. He verified the caller,No,Creating fake account of existing user for abusing and marketing,C. Report the fraudulent account to social media and also file a cyber complaint,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will simply follow the instructions of caller,You will inform your all friends and celebrate,All of the above,Both A & B,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,No,Male,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Working ,2 -4 Hours in a day,In the Night before Sleep,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
92,Yes,All of the above,All of the above,All of the above,Not more than 2 hours in day,30-36 Years,School (Under Class 10 Standard),Yes,I have little knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,Yes,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Somewhat Likely,Yes,Yes,No,Female,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Education Department ,Not more than 2 hours in day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,Yes,
64,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,37 Years and Above,Working (Govt.),Yes,I have little knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, I did not file the complaint because of lack of knowledge",No idea how to file the complaint,,,,He  clicked on the link directly without verifying the authenticity of the message.,2. Reputed Company Never Ask for Job Processing Fee Payment,b. Shared the card details,No,Creating fake account of existing user for abusing and marketing,Both B and C,Both B and C,a. He accepted the friend request of unknown people,All of the above,All of the above,D. Only A and B,B. You will refuse to click on the link,D. A & B both,C. Both A and B,You will click on the link and make the payment,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Check the fraud calls & links Mohd ,Male,Uttar Pradesh,WhatsApp Group,All of the Above,Will ignore the call,Yes,Yes,#Sohan@27!,Besic teacher ,I do not have/use Laptop or Desktop Computer,In Afternoon,I switch ON internet only when it is required,Not Applicable,Yes,
28,Yes,Stealing personal information,Damage our reputation,Using Internet all the time,2 -4 Hours in a day,37 Years and Above,Working (Govt.),Yes,I have little knowledge,Yes,No,Lottery Fraud,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,b. Shared the card details,I do not know,Creating fake account of existing user for abusing and marketing,Both B and C,"C. Will check the other details like biography, friends connected, active time on Facebook before accepting the friend request",He did everything right,The user receives a video call from an unknown number and a girl naked video was recorded with the user,Don’t recieve video call from unknown number,B. She did not verify the authenticity of buyer,C. You will ask buyer to send Cash,B. You will immediately call 1930 cyber crime help line number to file complaint,B. He has not verified the caller and made the payment,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,"Do not easily trust Sales Offered on Social Media , must verify the source",Poor,Poor,Very Good,Poor,Yes,Somewhat Likely,Not Likely,Not Likely,Yes,Yes,Time time given training to public for awareness tha cibee crime ,Female,Uttar Pradesh,Youtube,Inform to parent and discuss the matter,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Ps bardani holagarh prayagraj ,I do not have/use Laptop or Desktop Computer,In the Night before Sleep,I switch ON internet only when it is required,In the Night,Yes,
96,Yes,All of the above,All of the above,All of the above,Not more than 2 hours in day,37 Years and Above,Working (Govt.),Yes,I have good knowledge,Yes,No,Fake Loan Offer Fraud,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Somewhat Likely,Yes,Maybe,,Female,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,No,#Sohan@27!,Basic education,Not more than 2 hours in day,In the Night before Sleep,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",In the Afternoon at Home,Yes,
64,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,37 Years and Above,School (Under Class 10 Standard),No,I don't have any knowledge,No,Yes,"Fraud Call, Online Gaming Fraud, Online Shopping Fraud",20000-50000,"No, I did not file the complaint because of lack of knowledge",No idea where  to file the complaint,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,a. He accepted the friend request of unknown people,All of the above,Don’t accept friend requests from unknown while looking only smart picture,D. Only A and B,C. You will ask buyer to send Cash,D. A & B both,A. He clicked on the link and made payment,You will simply follow the instructions of caller,You will inform your all friends and celebrate,All of the above,Both A & B,All of the Above!,Poor,Poor,Poor,Poor,No,Not Likely,Not Likely,Not Likely,No,No,Use more video,Male,Uttar Pradesh,WhatsApp Group,All of the Above,Will ignore the call,No,Yes,#Sohan@27!,Ps gadra jasra prayagraj,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,No,
48,Yes,All of the above,All of the above,All of the above,8-10 hours in a day,37 Years and Above,Working (Govt.),Yes,I have little knowledge,Yes,No,"Fraud Call, Online Gaming Fraud, Job Offer Fraud, Social Media Account Hacked, Fake Loan Offer Fraud, Online Shopping Fraud",less than 5000,"No, I did not file the complaint because of lack of knowledge",No idea how to file the complaint,,,,He was doing exactly the same that was told by the accused.,3. Always apply for the Job only from the Authentic Website of the Company,b. Shared the card details,No,Option A and B,Both B and C,"A. In the profile picture, Girl is very beautiful, will accept the friend request directly",Both a and b,All of the above,All of the above,B. She did not verify the authenticity of buyer,C. You will ask buyer to send Cash,B. You will immediately call 1930 cyber crime help line number to file complaint,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will call back to the person and share the banking details to claim the Lottery amount,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,"Do not easily trust Sales Offered on Social Media , must verify the source",Very Good,Excellent,Very Good,Very Good,Yes,Somewhat Likely,Somewhat Likely,Somewhat Likely,Yes,Maybe,on LINE good massage ,Male,Uttar Pradesh,WhatsApp Group,All of the Above,Will follow the instructions of Criminal Layer Advocate,No,Yes,08-01-1992,P.S.TILAK SINGH KA PURA ,I do not have/use Laptop or Desktop Computer,In Afternoon,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,Yes,
84,Yes,All of the above,Damage our reputation,Human Negligence,2 -4 Hours in a day,30-36 Years,Working (Govt.),No,I don't have any knowledge,No,No,Fraud Call,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,A recording of the explicit video is used to extort money from the victim,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,Both A & B,All of the Above!,Excellent,Poor,Very Good,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Good ,Female,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,No,#Sohan@27!,Composite School Ramgarh ,I do not have/use Laptop or Desktop Computer,In Evening,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",In the Afternoon at Home,Yes,
96,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,37 Years and Above,PG,No,I have little knowledge,Yes,No,Bill Payment Fraud,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Provide more contents ,Female,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Pratappur ,2 -4 Hours in a day,In Afternoon,I switch ON internet only when it is required,In the Evening,Yes,
96,Yes,All of the above,All of the above,Human Negligence,10-12 Hours in a day,30-36 Years,Working (Govt.),Yes,I have good knowledge,Yes,No,"Lottery Fraud, Kaun Banega Crorepati (KBC) Fraud, Online Gaming Fraud",I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,3. Always apply for the Job only from the Authentic Website of the Company,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Very Good,Very Good,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Youth awareness  is necessary,Female,Uttar Pradesh,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Primary school  malakiya ,Not more than 2 hours in day,In Evening,I switch ON internet only when it is required,Not Applicable,Yes,
84,Yes,Stealing personal information,Defamation of an individual on social media,All of the above,2 -4 Hours in a day,37 Years and Above,Working (Govt.),No,I have little knowledge,No,Yes,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Very Good,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Good information,Male,Uttar Pradesh,WhatsApp Group,All of the Above,Will ignore the call,No,No,#Sohan@27!,PS Badauva kala lapar koraon Prayagraj,I do not have/use Laptop or Desktop Computer,In Evening,I switch ON internet only when it is required,Not Applicable,Yes,
